1,Ana,ana@gmail.com,45,1.57,True,1974-02-28
2,Luis,luis@gmail.com,39,1.52,True,2006-05-11
3,Maria,maria@gmail.com,43,1.86,True,1968-12-12
4,Carlos,carlos@gmail.com,56,1.94,False,2000-01-25
5,Marta,marta@gmail.com,26,1.58,True,1969-12-04
6,Javier,javier@gmail.com,47,1.54,True,1981-01-03
7,Sofia,sofia@gmail.com,46,1.79,True,1996-01-27
8,Pedro,pedro@gmail.com,45,1.97,True,1983-07-07
9,Laura,laura@gmail.com,39,1.87,False,1988-05-18
10,Alberto,alberto@gmail.com,41,1.94,True,1983-01-30
11,Carlos,carlos@gmail.com,60,1.8,True,1965-01-12
